,MI-Detroit,IN-Indianapolis,BE-St. Ghislain,IE-Dublin,SG-Singapore,TW-Changhua County
2010-01-03 00:00:00,-8.72,-11.66,0.0,-3.07,26.47,16.24
2010-01-03 01:00:00,-9.38,-12.23,-0.66,-3.33,26.47,15.69
2010-01-03 02:00:00,-9.41,-12.22,0.07,-2.92,25.53,15.32
2010-01-03 03:00:00,-9.97,-12.21,0.2,-2.97,25.36,15.29
2010-01-03 04:00:00,-9.97,-12.21,0.68,-3.31,25.36,15.42
2010-01-03 05:00:00,-9.97,-12.22,0.75,-3.23,26.16,15.54
2010-01-03 06:00:00,-9.97,-12.76,0.2,-2.68,26.14,15.45
2010-01-03 07:00:00,-9.94,-13.33,-0.07,-3.06,26.14,15.34
2010-01-03 08:00:00,-10.09,-13.91,-1.59,-2.71,26.44,15.54
2010-01-03 09:00:00,-10.24,-13.87,-2.02,-2.41,27.63,16.26
2010-01-03 10:00:00,-11.71,-12.23,-2.56,-1.38,28.79,17.29
2010-01-03 11:00:00,-11.76,-11.12,-2.71,-0.96,30.23,18.33
2010-01-03 12:00:00,-11.73,-9.5,-2.37,-0.22,31.34,19.48
2010-01-03 13:00:00,-11.27,-8.95,-2.1,0.53,31.74,20.63
2010-01-03 14:00:00,-10.77,-8.37,-2.03,0.59,31.13,21.22
2010-01-03 15:00:00,-11.23,-8.42,-2.26,0.62,31.37,20.84
2010-01-03 16:00:00,-11.26,-9.46,-2.89,0.79,30.64,19.89
2010-01-03 17:00:00,-11.75,-10.58,-4.97,-0.01,27.73,18.99
2010-01-03 18:00:00,-12.29,-11.67,-5.17,0.43,27.63,18.33
2010-01-03 19:00:00,-7.4,-7.88,-6.28,0.41,27.48,17.71
2010-01-03 20:00:00,-12.76,-13.37,-6.73,0.86,27.22,17.22
2010-01-03 21:00:00,-13.22,-14.47,-7.28,0.47,27.02,16.92
2010-01-03 22:00:00,-13.41,-15.57,-7.38,1.31,26.92,16.76
2010-01-03 23:00:00,-13.96,-16.11,-8.17,1.28,26.92,16.67
2010-01-04 00:00:00,-14.41,-16.65,-8.01,1.63,26.1,16.66
2010-01-04 01:00:00,-14.91,-16.67,-7.68,1.49,26.1,16.73
2010-01-04 02:00:00,-14.87,-16.68,-8.37,1.76,26.35,16.77
2010-01-04 03:00:00,-14.9,-17.22,-8.37,1.87,26.1,16.76
2010-01-04 04:00:00,-14.87,-17.22,-9.14,1.63,26.1,16.71
2010-01-04 05:00:00,-14.92,-17.22,-9.83,1.88,26.48,16.67
2010-01-04 06:00:00,-14.94,-16.66,-9.36,1.74,26.47,16.49
2010-01-04 07:00:00,-14.91,-16.11,-8.74,1.74,23.87,16.32
2010-01-04 08:00:00,-14.9,-15.05,-8.12,1.74,23.82,16.56
2010-01-04 09:00:00,-14.36,-14.42,-7.37,1.74,24.49,17.54
2010-01-04 10:00:00,-12.79,-12.81,-6.17,1.77,26.92,18.94
2010-01-04 11:00:00,-11.73,-10.6,-5.34,1.86,27.24,20.22
2010-01-04 12:00:00,-10.62,-8.43,-4.46,2.16,28.17,21.38
2010-01-04 13:00:00,-8.96,-7.84,-3.62,1.98,28.46,22.42
2010-01-04 14:00:00,-8.3,-7.31,-2.84,1.92,27.78,22.78
2010-01-04 15:00:00,-8.25,-7.25,-2.94,1.92,27.58,21.96
2010-01-04 16:00:00,-7.74,-7.79,-2.64,0.47,27.63,20.46
2010-01-04 17:00:00,-7.15,-8.33,-2.94,0.18,27.5,19.21
2010-01-04 18:00:00,-6.66,-8.37,-2.87,-0.56,27.3,18.62
2010-01-04 19:00:00,-5.26,-9.49,-2.73,-0.42,27.3,18.28
2010-01-04 20:00:00,-7.05,-8.91,-2.93,-1.34,26.44,17.99
2010-01-04 21:00:00,-6.66,-8.89,-2.43,-1.68,26.01,17.78
2010-01-04 22:00:00,-6.66,-9.42,-2.78,-1.72,26.01,17.61
2010-01-04 23:00:00,-6.7,-9.48,-2.84,-2.08,25.97,17.22
2010-01-05 00:00:00,-6.7,-9.98,-2.44,-1.42,25.36,16.36
2010-01-05 01:00:00,-7.16,-9.98,-2.83,-1.0,25.36,15.26
2010-01-05 02:00:00,-7.19,-9.48,-2.97,-0.79,24.83,14.43
2010-01-05 03:00:00,-6.77,-9.44,-3.52,-0.93,24.63,14.04
2010-01-05 04:00:00,-7.19,-9.47,-4.28,-0.67,24.63,13.91
2010-01-05 05:00:00,-7.19,-10.03,-3.87,-1.26,24.9,13.98
2010-01-05 06:00:00,-7.19,-10.57,-5.37,-2.23,24.89,14.19
2010-01-05 07:00:00,-7.22,-12.11,-4.98,-3.01,25.09,14.61
2010-01-05 08:00:00,-7.22,-12.71,-4.84,-3.83,25.43,15.32
2010-01-05 09:00:00,-7.22,-12.71,-5.46,-3.08,26.93,16.59
2010-01-05 10:00:00,-7.15,-11.59,-3.11,-2.3,27.93,18.17
2010-01-05 11:00:00,-6.18,-8.01,-2.17,-0.33,29.18,19.44
2010-01-05 12:00:00,-6.07,-8.98,-0.73,-0.01,30.23,20.26
2010-01-05 13:00:00,-6.04,-7.43,0.38,0.22,31.52,20.78
2010-01-05 14:00:00,-5.07,-7.86,0.86,0.43,31.52,20.88
2010-01-05 15:00:00,-4.16,-7.24,0.11,0.23,31.86,20.4
2010-01-05 16:00:00,-5.04,-7.28,-0.8,-0.28,31.26,19.5
2010-01-05 17:00:00,-5.04,-7.87,-1.83,-0.31,29.94,18.55
2010-01-05 18:00:00,-5.12,-8.9,-2.17,-0.01,28.48,17.56
2010-01-05 19:00:00,-3.71,-8.91,-2.67,-0.17,27.76,16.52
2010-01-05 20:00:00,-5.12,-10.05,-3.35,0.03,27.56,15.77
2010-01-05 21:00:00,-5.54,-10.53,-3.62,-0.07,27.08,15.54
2010-01-05 22:00:00,-5.59,-10.58,-3.89,-0.11,27.18,15.59
2010-01-05 23:00:00,-5.69,-11.1,-4.51,-0.13,27.08,15.56
2010-01-06 00:00:00,-5.71,-11.18,-5.55,0.06,26.1,15.24
2010-01-06 01:00:00,-6.1,-11.64,-6.44,0.27,26.1,14.84
2010-01-06 02:00:00,-6.11,-11.66,-6.71,0.23,26.35,14.55
2010-01-06 03:00:00,-6.11,-11.71,-6.93,0.23,26.1,14.44
2010-01-06 04:00:00,-6.16,-12.24,-6.91,0.26,25.36,14.44
2010-01-06 05:00:00,-6.16,-12.21,-6.91,-0.78,26.48,14.55
2010-01-06 06:00:00,-6.11,-12.76,-6.97,-1.33,26.47,14.85
2010-01-06 07:00:00,-6.08,-13.28,-7.04,-1.77,26.25,15.26
2010-01-06 08:00:00,-6.08,-12.79,-5.73,-2.24,26.07,15.56
2010-01-06 09:00:00,-5.97,-12.78,-4.22,-2.24,27.32,15.58
2010-01-06 10:00:00,-5.07,-12.26,-3.54,-1.8,28.83,15.5
2010-01-06 11:00:00,-5.07,-10.71,-2.84,-0.92,29.8,15.54
2010-01-06 12:00:00,-4.96,-9.62,-2.63,-0.48,31.0,15.86
2010-01-06 13:00:00,-4.51,-8.44,-2.76,0.23,31.9,16.3
2010-01-06 14:00:00,-4.38,-7.32,-2.91,0.43,31.4,16.65
2010-01-06 15:00:00,-4.38,-7.21,-2.78,0.43,31.51,16.86
2010-01-06 16:00:00,-3.96,-8.27,-2.94,-0.7,31.07,16.97
2010-01-06 17:00:00,-3.82,-8.86,-2.91,-2.26,29.55,16.88
2010-01-06 18:00:00,-3.37,-8.89,-3.14,-2.26,28.28,16.43
2010-01-06 19:00:00,-2.89,-7.27,-3.21,-2.23,27.86,15.78
2010-01-06 20:00:00,-3.24,-8.87,-3.36,-2.61,27.86,15.32
2010-01-06 21:00:00,-2.78,-8.88,-4.04,-2.23,27.76,15.29
2010-01-06 22:00:00,-2.74,-9.42,-4.12,-1.06,27.33,15.47
2010-01-06 23:00:00,-2.74,-9.48,-4.18,-0.94,27.08,15.56
2010-01-07 00:00:00,-2.79,-9.98,-4.32,-1.36,26.35,15.44
2010-01-07 01:00:00,-3.32,-10.02,-5.16,0.18,26.35,15.24
2010-01-07 02:00:00,-2.9,-10.02,-5.13,0.5,26.35,15.0
2010-01-07 03:00:00,-2.94,-10.05,-6.11,0.69,26.1,14.67
2010-01-07 04:00:00,-3.39,-10.05,-6.96,0.98,25.36,14.31
2010-01-07 05:00:00,-3.37,-10.58,-7.36,1.16,26.18,14.11
2010-01-07 06:00:00,-3.39,-11.12,-9.08,0.27,26.25,14.13
2010-01-07 07:00:00,-3.39,-11.13,-9.41,0.61,26.25,14.32
2010-01-07 08:00:00,-3.39,-11.11,-9.68,-0.55,23.83,14.66
2010-01-07 09:00:00,-3.39,-11.04,-9.74,-0.72,23.79,15.17
2010-01-07 10:00:00,-3.39,-9.02,-9.17,-0.29,23.87,15.82
2010-01-07 11:00:00,-3.3,-7.93,-7.76,0.31,24.63,16.54
2010-01-07 12:00:00,-2.85,-7.77,-6.01,0.87,26.34,17.5
2010-01-07 13:00:00,-2.77,-6.71,-5.33,0.12,26.93,18.52
2010-01-07 14:00:00,-2.34,-6.15,-3.62,0.43,27.57,18.98
2010-01-07 15:00:00,-2.32,-5.54,-3.01,0.64,28.28,18.38
2010-01-07 16:00:00,-2.32,-4.06,-4.47,0.27,28.68,17.22
2010-01-07 17:00:00,-2.27,-4.59,-6.49,-0.61,28.09,16.31
2010-01-07 18:00:00,-2.69,-6.69,-7.71,-2.68,27.43,15.98
2010-01-07 19:00:00,-4.53,-12.09,-8.13,-3.03,26.84,15.89
2010-01-07 20:00:00,-2.74,-7.42,-8.32,-4.43,26.44,15.88
2010-01-07 21:00:00,-2.79,-7.96,-8.87,-4.1,26.01,16.0
2010-01-07 22:00:00,-3.24,-8.03,-9.57,-5.49,26.0,16.19
2010-01-07 23:00:00,-2.82,-7.93,-9.58,-6.52,26.01,16.11
2010-01-08 00:00:00,-2.78,-7.33,-9.17,-6.61,25.36,15.46
2010-01-08 01:00:00,-3.2,-7.19,-8.79,-5.58,25.36,14.53
2010-01-08 02:00:00,-3.2,-6.69,-8.32,-5.51,25.53,13.87
2010-01-08 03:00:00,-3.2,-6.67,-8.66,-4.72,25.36,13.78
2010-01-08 04:00:00,-3.27,-7.18,-7.91,-5.43,25.36,13.96
2010-01-08 05:00:00,-3.24,-7.22,-7.99,-5.31,25.14,14.11
2010-01-08 06:00:00,-3.24,-7.22,-8.61,-5.34,25.53,14.06
2010-01-08 07:00:00,-3.28,-7.21,-8.39,-5.58,25.91,13.97
2010-01-08 08:00:00,-3.37,-7.22,-7.58,-5.25,25.91,13.99
2010-01-08 09:00:00,-3.27,-7.2,-6.96,-5.29,27.02,14.26
2010-01-08 10:00:00,-2.88,-6.18,-5.56,-4.81,27.93,14.64
2010-01-08 11:00:00,-3.32,-6.11,-4.45,-3.42,28.36,14.98
2010-01-08 12:00:00,-3.28,-5.07,-3.98,-3.5,29.53,15.28
2010-01-08 13:00:00,-3.87,-3.89,-3.3,-3.24,29.27,15.55
2010-01-08 14:00:00,-3.94,-6.12,-3.07,-2.52,30.59,15.64
2010-01-08 15:00:00,-4.06,-7.17,-3.17,-2.94,30.5,15.48
2010-01-08 16:00:00,-4.91,-7.82,-3.17,-2.5,29.74,15.13
2010-01-08 17:00:00,-5.0,-9.41,-3.92,-3.34,27.63,14.77
2010-01-08 18:00:00,-5.84,-10.05,-4.05,-3.78,27.84,14.37
2010-01-08 19:00:00,-5.97,-6.01,-3.98,-3.93,27.12,13.93
2010-01-08 20:00:00,-5.07,-11.71,-4.6,-4.98,26.34,13.66
2010-01-08 21:00:00,-5.07,-11.68,-4.18,-5.66,26.93,13.67
2010-01-08 22:00:00,-5.04,-12.22,-4.05,-6.04,26.54,13.83
2010-01-08 23:00:00,-5.12,-12.77,-3.89,-6.69,26.34,13.89
2010-01-09 00:00:00,-5.04,-12.2,-3.82,-7.06,25.36,13.72
2010-01-09 01:00:00,-5.11,-11.13,-2.89,-7.64,25.36,13.46
2010-01-09 02:00:00,-5.14,-12.12,-2.94,-8.29,25.36,13.23
2010-01-09 03:00:00,-5.92,-12.2,-2.94,-7.48,25.36,13.09
2010-01-09 04:00:00,-6.04,-12.2,-2.53,-6.06,24.96,12.99
2010-01-09 05:00:00,-5.45,-11.09,-2.53,-7.04,25.57,12.88
2010-01-09 06:00:00,-4.11,-11.11,-2.87,-7.83,25.21,12.52
2010-01-09 07:00:00,-4.09,-10.56,-3.01,-8.39,25.13,12.16
2010-01-09 08:00:00,-4.46,-10.56,-3.56,-6.72,25.77,12.54
2010-01-09 09:00:00,-4.11,-9.99,-3.56,-6.59,27.12,14.35
2010-01-09 10:00:00,-3.92,-9.44,-3.56,-3.9,28.12,16.91
2010-01-09 11:00:00,-4.22,-8.26,-2.94,-2.04,29.03,18.91
2010-01-09 12:00:00,-2.92,-7.21,-2.57,-1.65,30.33,19.92
2010-01-09 13:00:00,-2.81,-7.11,-2.3,-1.55,31.24,20.38
2010-01-09 14:00:00,-3.39,-6.55,-2.17,-1.56,30.91,20.32
2010-01-09 15:00:00,-4.96,-5.94,-2.02,-2.7,31.66,19.45
2010-01-09 16:00:00,-5.57,-5.91,-1.34,-3.06,31.16,18.06
2010-01-09 17:00:00,-6.11,-4.45,-1.27,-4.31,30.44,16.99
2010-01-09 18:00:00,-6.11,-4.48,-1.27,-5.7,29.62,16.69
2010-01-09 19:00:00,-6.97,-8.99,-1.27,-5.44,28.11,16.72
2010-01-09 20:00:00,-6.09,-5.6,-1.27,-6.83,27.29,16.67
2010-01-09 21:00:00,-6.21,-6.17,-1.27,-7.13,26.97,16.31
2010-01-09 22:00:00,-6.21,-6.67,-1.21,-7.34,26.86,15.87
2010-01-09 23:00:00,-6.68,-6.67,-1.21,-6.89,26.41,15.56
2010-01-10 00:00:00,-7.74,-7.22,-1.21,-7.16,24.25,15.52
2010-01-10 01:00:00,-8.36,-7.21,-1.35,-7.54,24.25,15.62
2010-01-10 02:00:00,-8.74,-7.76,-1.27,-6.74,24.42,15.56
2010-01-10 03:00:00,-8.72,-7.81,-1.27,-6.23,24.06,15.16
2010-01-10 04:00:00,-8.24,-8.36,-1.27,-6.61,24.06,14.61
2010-01-10 05:00:00,-7.87,-8.87,-1.21,-5.81,24.84,14.21
2010-01-10 06:00:00,-8.41,-9.42,-1.35,-5.24,24.33,13.81
2010-01-10 07:00:00,-9.02,-9.99,-1.35,-3.34,24.69,13.54
2010-01-10 08:00:00,-9.95,-10.52,-1.9,-2.62,24.71,14.21
2010-01-10 09:00:00,-9.55,-10.58,-1.27,-2.02,26.69,16.77
2010-01-10 10:00:00,-8.47,-10.58,-1.35,-2.43,27.56,20.25
2010-01-10 11:00:00,-7.26,-9.98,-1.21,-1.67,28.21,22.56
2010-01-10 12:00:00,-5.77,-8.88,-1.13,-0.89,29.8,22.6
2010-01-10 13:00:00,-5.13,-7.79,-1.13,-0.49,30.64,21.47
2010-01-10 14:00:00,-4.58,-6.74,-1.13,-0.61,31.95,20.41
2010-01-10 15:00:00,-4.58,-6.22,-1.13,-0.21,32.03,19.91
2010-01-10 16:00:00,-4.65,-6.23,-1.27,0.39,31.95,19.49
2010-01-10 17:00:00,-5.89,-6.87,-1.27,-0.17,31.75,18.98
2010-01-10 18:00:00,-7.04,-7.49,-1.96,-0.54,30.53,18.22
2010-01-10 19:00:00,-6.68,-8.91,-2.02,-0.6,28.92,17.38
2010-01-10 20:00:00,-8.58,-8.97,-2.02,-0.91,27.92,16.77
2010-01-10 21:00:00,-8.22,-9.52,-2.02,-1.01,27.29,16.65
2010-01-10 22:00:00,-11.45,-9.98,-2.08,-1.4,26.34,16.76
2010-01-10 23:00:00,-10.07,-10.56,-2.17,-1.26,26.24,16.67
2010-01-11 00:00:00,-12.3,-11.74,-2.17,-0.38,25.53,16.11
2010-01-11 01:00:00,-11.06,-12.31,-2.15,-0.59,24.42,15.34
2010-01-11 02:00:00,-11.13,-12.32,-2.17,0.17,24.42,14.77
2010-01-11 03:00:00,-12.21,-12.32,-2.1,0.23,24.42,14.56
2010-01-11 04:00:00,-12.23,-13.34,-2.1,0.2,24.25,14.54
2010-01-11 05:00:00,-13.12,-13.83,-2.17,0.92,25.48,14.55
2010-01-11 06:00:00,-12.17,-13.84,-2.03,0.94,25.14,14.32
2010-01-11 07:00:00,-12.56,-13.22,-2.1,1.52,24.75,14.12
2010-01-11 08:00:00,-11.54,-13.19,-2.03,1.73,25.81,14.66
2010-01-11 09:00:00,-9.43,-12.74,-2.1,1.96,27.16,16.69
2010-01-11 10:00:00,-7.76,-12.73,-1.97,2.13,28.7,19.46
2010-01-11 11:00:00,-6.02,-11.61,-1.27,2.19,29.9,21.45
2010-01-11 12:00:00,-4.88,-10.46,-1.13,2.22,30.73,21.99
2010-01-11 13:00:00,-3.74,-9.32,-1.07,2.42,31.42,21.75
2010-01-11 14:00:00,-2.73,-8.27,-0.94,2.57,31.89,21.2
2010-01-11 15:00:00,-2.63,-7.23,-1.0,2.41,32.14,20.37
2010-01-11 16:00:00,-2.73,-6.68,-1.0,2.41,32.1,19.23
2010-01-11 17:00:00,-4.32,-7.69,-1.0,2.41,31.62,18.21
2010-01-11 18:00:00,-5.03,-8.84,-1.0,2.41,30.74,17.42
2010-01-11 19:00:00,-6.21,-7.17,-1.0,2.23,28.61,16.75
2010-01-11 20:00:00,-8.32,-9.43,-0.92,2.23,27.63,16.33
2010-01-11 21:00:00,-9.32,-10.0,-1.07,2.58,27.12,16.38
2010-01-11 22:00:00,-9.9,-9.98,-0.79,2.11,26.29,16.68
2010-01-11 23:00:00,-9.33,-9.44,-0.91,2.28,26.35,16.67
2010-01-12 00:00:00,-9.31,-8.88,-1.21,1.77,25.36,16.03
2010-01-12 01:00:00,-8.76,-7.84,-1.21,2.11,24.99,15.08
2010-01-12 02:00:00,-8.27,-7.29,-1.21,2.13,25.11,14.21
2010-01-12 03:00:00,-8.22,-7.24,-1.21,2.27,24.25,13.56
2010-01-12 04:00:00,-8.16,-6.71,-1.04,2.1,24.25,12.99
2010-01-12 05:00:00,-7.72,-6.18,-1.27,1.59,24.75,12.54
2010-01-12 06:00:00,-7.72,-6.13,-1.27,1.91,24.73,12.19
2010-01-12 07:00:00,-7.71,-5.63,-1.27,1.56,24.35,11.95
2010-01-12 08:00:00,-7.82,-6.11,-1.27,1.56,26.01,11.88
2010-01-12 09:00:00,-7.78,-5.55,-1.27,1.76,27.16,12.07
2010-01-12 10:00:00,-7.69,-5.0,-1.27,1.73,28.79,12.42
2010-01-12 11:00:00,-7.19,-4.43,-1.11,1.93,30.11,12.76
2010-01-12 12:00:00,-6.61,-3.88,-0.23,2.23,31.42,13.14
2010-01-12 13:00:00,-6.53,-3.42,-0.23,2.41,31.56,13.52
2010-01-12 14:00:00,-6.08,-3.49,-0.23,2.41,32.1,13.53
2010-01-12 15:00:00,-6.04,-4.51,-0.23,2.41,29.52,12.9
2010-01-12 16:00:00,-6.11,-7.04,-0.23,2.41,28.99,11.91
2010-01-12 17:00:00,-6.11,-6.09,-0.23,2.21,27.49,11.09
2010-01-12 18:00:00,-5.99,-7.17,-0.23,2.21,27.91,10.66
2010-01-12 19:00:00,-5.66,-3.53,-0.23,2.0,27.62,10.4
2010-01-12 20:00:00,-5.62,-6.73,-0.23,2.11,27.29,10.22
2010-01-12 21:00:00,-6.11,-6.67,-0.23,2.35,27.01,10.12
2010-01-12 22:00:00,-6.23,-6.66,-0.36,2.38,26.79,10.11
2010-01-12 23:00:00,-6.77,-6.11,-0.49,2.21,26.78,10.0
2010-01-13 00:00:00,-8.47,-5.56,-1.34,1.86,25.74,9.72
2010-01-13 01:00:00,-7.11,-5.01,-1.38,2.23,25.74,9.35
2010-01-13 02:00:00,-6.16,-3.96,-2.17,2.3,25.66,8.99
2010-01-13 03:00:00,-5.47,-3.9,-2.23,2.3,25.36,8.58
2010-01-13 04:00:00,-3.96,-3.39,-2.23,2.33,25.36,8.17
2010-01-13 05:00:00,-3.86,-3.42,-2.29,3.04,25.91,8.1
2010-01-13 06:00:00,-4.38,-2.88,-2.22,2.57,25.68,8.41
2010-01-13 07:00:00,-4.43,-4.01,-1.93,2.57,25.89,9.04
2010-01-13 08:00:00,-4.93,-4.04,-1.79,2.39,26.19,10.22
2010-01-13 09:00:00,-6.16,-4.06,-1.93,2.22,27.02,12.38
2010-01-13 10:00:00,-6.12,-3.97,-1.18,2.19,27.78,15.07
2010-01-13 11:00:00,-5.06,-2.84,-0.13,2.03,28.81,17.12
2010-01-13 12:00:00,-4.37,-2.28,-0.07,2.03,29.48,18.05
2010-01-13 13:00:00,-2.99,-2.24,0.55,1.93,30.58,18.34
2010-01-13 14:00:00,-2.5,-1.74,0.75,2.69,30.13,18.21
2010-01-13 15:00:00,-2.91,-1.23,0.84,1.66,29.37,17.58
2010-01-13 16:00:00,-3.33,-2.23,0.98,1.2,27.94,16.52
2010-01-13 17:00:00,-3.92,-1.82,0.97,1.4,27.94,15.43
2010-01-13 18:00:00,-4.43,-2.98,1.04,0.58,27.81,14.37
2010-01-13 19:00:00,-2.32,0.57,1.11,0.58,27.53,13.28
2010-01-13 20:00:00,-6.08,-4.58,1.11,0.5,27.29,12.44
2010-01-13 21:00:00,-6.04,-6.33,1.11,0.5,27.01,12.09
2010-01-13 22:00:00,-5.14,-5.44,1.11,0.53,27.01,11.99
2010-01-13 23:00:00,-4.93,-6.99,1.82,0.53,26.62,11.67
2010-01-14 00:00:00,-4.51,-7.57,2.02,1.26,26.1,10.81
2010-01-14 01:00:00,-4.36,-7.63,1.49,1.18,25.36,9.73
2010-01-14 02:00:00,-3.89,-9.11,1.54,1.01,25.66,8.87
2010-01-14 03:00:00,-3.84,-8.51,2.02,1.04,25.36,8.36
2010-01-14 04:00:00,-3.79,-8.96,2.16,1.18,25.36,8.06
2010-01-14 05:00:00,-3.77,-9.01,2.09,1.18,26.24,8.1
2010-01-14 06:00:00,-3.77,-8.02,2.09,1.35,25.89,8.41
2010-01-14 07:00:00,-3.82,-8.02,2.22,1.38,25.91,9.04
2010-01-14 08:00:00,-3.82,-8.87,2.22,1.56,25.91,10.32
2010-01-14 09:00:00,-3.82,-7.29,2.29,1.7,27.06,12.82
2010-01-14 10:00:00,-3.82,-5.11,2.29,1.7,27.86,15.96
2010-01-14 11:00:00,-3.72,-3.34,2.64,2.34,28.97,18.33
2010-01-14 12:00:00,-2.76,-1.15,3.69,2.54,29.28,19.33
2010-01-14 13:00:00,-2.16,0.93,5.55,2.6,30.73,19.57
2010-01-14 14:00:00,-1.69,2.12,5.68,3.25,30.92,19.44
2010-01-14 15:00:00,-1.1,3.22,5.88,3.31,30.29,19.02
2010-01-14 16:00:00,-0.61,3.31,4.29,3.28,29.52,18.23
2010-01-14 17:00:00,-1.27,3.25,2.97,3.08,28.34,17.33
2010-01-14 18:00:00,-1.73,1.63,1.58,3.05,27.63,16.24
2010-01-14 19:00:00,1.86,3.93,1.32,2.4,27.29,15.04
2010-01-14 20:00:00,-1.73,-0.53,1.25,1.85,27.18,14.21
2010-01-14 21:00:00,-1.78,-1.02,0.43,1.23,27.1,14.19
2010-01-14 22:00:00,-1.84,-0.53,0.27,1.45,26.93,14.53
2010-01-14 23:00:00,-2.23,-1.07,-0.48,1.35,26.28,14.44
2010-01-15 00:00:00,-2.27,-0.64,-0.71,1.12,25.36,13.39
2010-01-15 01:00:00,-2.36,-1.69,0.09,0.21,24.99,11.89
2010-01-15 02:00:00,-2.55,-1.73,-0.04,-0.24,25.24,10.76
2010-01-15 03:00:00,-3.02,-2.75,0.13,0.2,24.99,10.26
2010-01-15 04:00:00,-3.34,-2.21,0.43,-0.18,24.8,10.12
2010-01-15 05:00:00,-3.56,-1.83,0.43,-0.03,25.03,10.2
2010-01-15 06:00:00,-3.51,-2.48,0.88,-0.49,25.3,10.34
2010-01-15 07:00:00,-3.19,-2.89,1.04,-0.83,25.36,10.71
2010-01-15 08:00:00,-3.0,-2.86,1.24,0.07,25.61,11.65
2010-01-15 09:00:00,-2.74,-2.21,1.18,-0.01,27.26,13.63
2010-01-15 10:00:00,-1.06,-0.06,1.18,1.25,27.98,16.17
2010-01-15 11:00:00,0.51,2.12,1.18,2.68,29.48,18.21
2010-01-15 12:00:00,1.66,3.79,1.34,4.24,30.42,19.51
2010-01-15 13:00:00,2.24,4.83,1.47,5.24,31.11,20.31
2010-01-15 14:00:00,3.24,6.5,1.47,5.84,30.37,20.22
2010-01-15 15:00:00,3.18,7.07,1.44,5.54,29.8,19.61
2010-01-15 16:00:00,2.7,6.54,1.44,3.86,28.69,18.58
2010-01-15 17:00:00,2.28,5.51,1.31,3.01,28.11,17.32
2010-01-15 18:00:00,2.22,3.44,1.73,2.68,28.11,16.05
2010-01-15 19:00:00,1.39,2.23,1.86,2.82,27.58,14.94
2010-01-15 20:00:00,2.75,5.49,1.99,3.35,27.29,14.21
2010-01-15 21:00:00,2.77,4.49,1.99,3.58,27.12,13.92
2010-01-15 22:00:00,2.87,4.92,1.35,3.96,27.12,14.33
2010-01-15 23:00:00,2.82,4.95,1.44,4.87,26.58,14.44
2010-01-16 00:00:00,2.75,4.4,1.28,5.57,26.47,13.78
2010-01-16 01:00:00,2.75,4.93,2.01,5.77,26.1,12.83
2010-01-16 02:00:00,3.24,4.89,1.38,6.11,25.53,12.09
2010-01-16 03:00:00,2.78,4.89,1.11,6.02,25.36,11.75
2010-01-16 04:00:00,2.36,4.38,1.18,5.82,24.99,11.61
2010-01-16 05:00:00,2.26,4.38,1.24,6.11,25.17,11.65
2010-01-16 06:00:00,1.8,3.83,1.79,6.28,25.14,11.69
2010-01-16 07:00:00,1.8,4.32,2.06,6.66,24.75,11.91
2010-01-16 08:00:00,1.71,3.78,2.06,6.93,25.77,12.76
2010-01-16 09:00:00,1.58,3.78,1.93,7.47,27.28,14.72
2010-01-16 10:00:00,1.61,3.84,2.09,8.35,28.49,17.32
2010-01-16 11:00:00,1.65,4.38,2.29,8.41,29.86,19.55
2010-01-16 12:00:00,1.73,4.33,2.71,9.32,30.73,21.24
2010-01-16 13:00:00,1.73,4.91,2.64,9.34,30.5,22.57
2010-01-16 14:00:00,2.17,4.91,2.31,9.17,30.73,23.12
2010-01-16 15:00:00,1.84,4.92,2.36,8.69,30.28,22.47
2010-01-16 16:00:00,1.79,4.35,2.29,8.87,30.92,21.03
2010-01-16 17:00:00,1.73,2.83,2.14,8.67,30.96,19.66
2010-01-16 18:00:00,1.23,2.79,2.22,8.81,29.7,18.59
2010-01-16 19:00:00,-0.79,3.24,2.5,8.46,28.51,17.59
2010-01-16 20:00:00,1.11,2.22,2.7,7.98,27.48,16.77
2010-01-16 21:00:00,1.07,2.19,2.84,7.98,26.82,16.29
2010-01-16 22:00:00,0.62,1.63,3.66,7.98,26.24,15.98
2010-01-16 23:00:00,0.19,2.11,4.57,7.96,26.24,15.56
2010-01-17 00:00:00,0.59,1.61,4.71,7.79,24.63,14.81
2010-01-17 01:00:00,0.56,1.07,4.57,7.51,24.25,13.93
2010-01-17 02:00:00,0.07,0.53,4.93,7.75,24.54,13.21
2010-01-17 03:00:00,-0.47,0.53,5.22,7.75,24.06,12.69
2010-01-17 04:00:00,-1.02,0.04,5.91,7.96,24.06,12.32
2010-01-17 05:00:00,-1.04,1.02,5.96,7.87,25.12,12.21
2010-01-17 06:00:00,-1.08,0.06,5.76,6.92,25.08,12.28
2010-01-17 07:00:00,-1.08,-0.04,5.88,6.28,24.75,12.62
2010-01-17 08:00:00,-1.08,-0.56,5.82,5.98,25.67,13.55
2010-01-17 09:00:00,-1.11,-0.04,5.55,5.58,27.02,15.49
2010-01-17 10:00:00,-1.07,0.01,5.95,6.26,28.32,18.03
2010-01-17 11:00:00,-0.57,0.63,6.22,6.52,29.81,20.22
2010-01-17 12:00:00,-0.92,1.63,7.03,6.41,30.73,22.05
